sample,group,sex,group_sex,stage,category,category_sex
0-1,D0embryo,UN,D0embryo_UN,D0,larva,larva_UN
0-2,D0embryo,UN,D0embryo_UN,D0,larva,larva_UN
0-3,D0embryo,UN,D0embryo_UN,D0,larva,larva_UN
0-9,D0embryo,UN,D0embryo_UN,D0,larva,larva_UN
0-10,D0embryo,UN,D0embryo_UN,D0,larva,larva_UN
24-2,D1Larva,UN,D1Larva_UN,D1,larva,larva_UN
24-3,D1Larva,UN,D1Larva_UN,D1,larva,larva_UN
24-4,D1Larva,UN,D1Larva_UN,D1,larva,larva_UN
24-5,D1Larva,UN,D1Larva_UN,D1,larva,larva_UN
24-6,D1Larva,UN,D1Larva_UN,D1,larva,larva_UN
48-2,D2Larva,F,D2Larva_F,D2,larva,larva_F
48-3,D2Larva,M,D2Larva_M,D2,larva,larva_M
48-4,D2Larva,M,D2Larva_M,D2,larva,larva_M
48-5,D2Larva,M,D2Larva_M,D2,larva,larva_M
48-6,D2Larva,F,D2Larva_F,D2,larva,larva_F
72-2,D3Larva,M,D3Larva_M,D3,larva,larva_M
72-3,D3Larva,F,D3Larva_F,D3,larva,larva_F
72-6,D3Larva,F,D3Larva_F,D3,larva,larva_F
72-11,D3Larva,F,D3Larva_F,D3,larva,larva_F
72-12,D3Larva,F,D3Larva_F,D3,larva,larva_F
96-3,D4Larva,M,D4Larva_M,D4,larva,larva_M
96-6,D4Larva,F,D4Larva_F,D4,larva,larva_F
96-9,D4Larva,F,D4Larva_F,D4,larva,larva_F
96-10,D4Larva,M,D4Larva_M,D4,larva,larva_M
96-11,D4Larva,M,D4Larva_M,D4,larva,larva_M
120-3,D5Larva,M,D5Larva_M,D5,larva,larva_M
120-8,D5Larva,M,D5Larva_M,D5,larva,larva_M
120-10,D5Larva,M,D5Larva_M,D5,larva,larva_M
120-11,D5Larva,M,D5Larva_M,D5,larva,larva_M
120-12,D5Larva,F,D5Larva_F,D5,larva,larva_F
144-7,D5Larva,M,D5Larva_M,D5,larva,larva_M
144-8,D5Larva,F,D5Larva_F,D5,larva,larva_F
144-9,D5Larva,F,D5Larva_F,D5,larva,larva_F
144-10,D5Larva,F,D5Larva_F,D5,larva,larva_F
144-11,D5Larva,M,D5Larva_M,D5,larva,larva_M
1d-J03,juvenile,F,juvenile_F,juvenile,postmetamorphosis,postmetamorphosis_F
1d-J07,juvenile,F,juvenile_F,juvenile,postmetamorphosis,postmetamorphosis_F
1d-J08,juvenile,F,juvenile_F,juvenile,postmetamorphosis,postmetamorphosis_F
EJ2,juvenile,F,juvenile_F,juvenile,postmetamorphosis,postmetamorphosis_F
EJ3,juvenile,F,juvenile_F,juvenile,postmetamorphosis,postmetamorphosis_F
EJ5,juvenile,F,juvenile_F,juvenile,postmetamorphosis,postmetamorphosis_F
EJ7,juvenile,F,juvenile_F,juvenile,postmetamorphosis,postmetamorphosis_F
EJ8,juvenile,F,juvenile_F,juvenile,postmetamorphosis,postmetamorphosis_F
3w-F01,adult,F,adult_F,adult,postmetamorphosis,postmetamorphosis_F
3w-F02,adult,F,adult_F,adult,postmetamorphosis,postmetamorphosis_F
3w-F03,adult,F,adult_F,adult,postmetamorphosis,postmetamorphosis_F
4P4,adult,F,adult_F,adult,postmetamorphosis,postmetamorphosis_F
4P5,adult,F,adult_F,adult,postmetamorphosis,postmetamorphosis_F
E-male03,juvenile,M,juvenile_M,juvenile,postmetamorphosis,postmetamorphosis_M
E-male04,juvenile,M,juvenile_M,juvenile,postmetamorphosis,postmetamorphosis_M
E-male05,juvenile,M,juvenile_M,juvenile,postmetamorphosis,postmetamorphosis_M
EM1,juvenile,M,juvenile_M,juvenile,postmetamorphosis,postmetamorphosis_M
EM4,juvenile,M,juvenile_M,juvenile,postmetamorphosis,postmetamorphosis_M
EM5,juvenile,M,juvenile_M,juvenile,postmetamorphosis,postmetamorphosis_M
EM6,juvenile,M,juvenile_M,juvenile,postmetamorphosis,postmetamorphosis_M
EM7,juvenile,M,juvenile_M,juvenile,postmetamorphosis,postmetamorphosis_M
L-male03,adult,M,adult_M,adult,postmetamorphosis,postmetamorphosis_M
L-male04,adult,M,adult_M,adult,postmetamorphosis,postmetamorphosis_M
L-male05,adult,M,adult_M,adult,postmetamorphosis,postmetamorphosis_M
LM2,adult,M,adult_M,adult,postmetamorphosis,postmetamorphosis_M
LM3,adult,M,adult_M,adult,postmetamorphosis,postmetamorphosis_M
LM6,adult,M,adult_M,adult,postmetamorphosis,postmetamorphosis_M
LM7,adult,M,adult_M,adult,postmetamorphosis,postmetamorphosis_M
